""_id","_labels","Duplex","comuna","desc_conexion","es_modular","estado_puerto","fabricante","host_puerto_id","hostname","ip_gestion","link_id","modelo","modo","num_puertos_conect","num_puertos_totales","owner_switch","puerto_id","region","remote_hostname","role","serial_number","tipo","tipo_puerto","ubicacion","velocidad","vlan","_start","_end","_type"
"58",":Puerto","full","","Conexion a CMXB 0-28 (RIGHT) GE2 CCN6","","activo","","CH-SW-01-LRY_Ethernet1/41","CCN6","","LNK:CCN6__CH-SW-01-LRY:Ethernet1/41","","trunk","","","CH-SW-01-LRY","Ethernet1/41","","CCN6","","","","físico","","1000.0","215-216",,,
"59",":Puerto","full","","Conexion a CMXB 0-28 (RIGHT) GE2 CCN6","","activo","","CH-SW-01-LRY_Ethernet1/42","CCN6","","LNK:CCN6__CH-SW-01-LRY:Ethernet1/42","","trunk","","","CH-SW-01-LRY","Ethernet1/42","","CCN6","","","","físico","","1000.0","218",,,
"60",":Puerto","","","","","activo","","CH-SW-01-LRY_Ethernet1/43","","","","","","","","CH-SW-01-LRY","Ethernet1/43","","","","","","físico","","","",,,
"61",":Puerto","","","","","activo","","CH-SW-01-LRY_Ethernet1/44","","","","","","","","CH-SW-01-LRY","Ethernet1/44","","","","","","físico","","","",,,
"62",":Puerto","","","","","activo","","CH-SW-01-LRY_Ethernet1/45","","","","","","","","CH-SW-01-LRY","Ethernet1/45","","","","","","físico","","","",,,
"63",":Puerto","full","","Monitor Server eno5","","activo","","CH-SW-01-LRY_Ethernet1/46","Monitor Server eno5","","LNK:CH-SW-01-LRY:Ethernet1/46__MONITOR SERVER ENO5","","access","","","CH-SW-01-LRY","Ethernet1/46","","Monitor Server eno5","","","","físico","","1000.0","655",,,
"64",":Puerto","","","Conexion back2back CH-SW-02-LRY","","activo","","CH-SW-01-LRY_Ethernet1/47","CH-SW-02-LRY","","LNK:CH-SW-01-LRY:Ethernet1/47__CH-SW-02-LRY:Ethernet1/47","","trunk","","","CH-SW-01-LRY","Ethernet1/47","","CH-SW-02-LRY","","","","físico","","1000.0","506,651,655-658,662",,,
"65",":Puerto","","","Conexion back2back CH-SW-02-LRY","","activo","","CH-SW-01-LRY_Ethernet1/48","CH-SW-02-LRY","","LNK:CH-SW-01-LRY:Ethernet1/48__CH-SW-02-LRY:Ethernet1/48","","trunk","","","CH-SW-01-LRY","Ethernet1/48","","CH-SW-02-LRY","","","","físico","","1000.0","506,651,655-658,662",,,
"66",":Puerto","full","","Conexion a SCLLIR-MPE2","","activo","","CH-SW-01-LRY_Ethernet1/49","SCLLIR-MPE2","","LNK:CH-SW-01-LRY:Ethernet1/49__SCLLIR-MPE2","","trunk","","","CH-SW-01-LRY","Ethernet1/49","","SCLLIR-MPE2","","","","físico","","","215-216,218-220,222,501,506,651,653,655-658,661-662",,,
"67",":Puerto","","","","","activo","","CH-SW-01-LRY_Ethernet1/50","","","","","","","","CH-SW-01-LRY","Ethernet1/50","","","","","","físico","","","",,,
"68",":Puerto","","","","","activo","","CH-SW-01-LRY_Ethernet1/51","","","","","","","","CH-SW-01-LRY","Ethernet1/51","","","","","","físico","","","",,,
"69",":Puerto","","","","","activo","","CH-SW-01-LRY_Ethernet1/52","","","","","","","","CH-SW-01-LRY","Ethernet1/52","","","","","","físico","","","",,,
"70",":Puerto","","","Conexion back2back CH-SW-01-LRY","","activo","","CH-SW-02-LRY_port-channel1","CH-SW-01-LRY","","LNK:CH-SW-02-LRY:port-channel1__CH-SW-01-LRY:port-channel1","","trunk","","","CH-SW-02-LRY","port-channel1","","CH-SW-01-LRY","","","","interface lógica","","","506,651,655-658,662",,,
"71",":Puerto","","","","","activo","","CH-SW-02-LRY_Ethernet1/1","","","","","trunk","","","CH-SW-02-LRY","Ethernet1/1","","","","","","físico","","","503",,,
"72",":Puerto","","","","","activo","","CH-SW-02-LRY_Ethernet1/2","","","","","","","","CH-SW-02-LRY","Ethernet1/2","","","","","","físico","","","",,,
